lot	path	base_lines	final_lines	base_prose	final_prose	removed_prose	modified
L34	runtime/lib/fleet/workflow/ops_object.ex	200	162	79	41	38	true
L34	runtime/lib/fleet/workflow/ops_object_sync.ex	200	159	83	42	41	true
L34	runtime/lib/fleet/workflow/payload_guard.ex	226	148	116	38	78	true
L34	runtime/lib/fleet/workflow/pinning.ex	140	104	64	28	36	true
L34	runtime/lib/fleet/workflow/provenance.ex	209	170	81	42	39	true
L34	runtime/lib/fleet/workflow/provenance/verifier.ex	136	139	21	24	-3	true
L34	runtime/test/fleet/workflow/ops_object_sync_test.exs	468	414	92	38	54	true
L34	runtime/test/fleet/workflow/payload_guard_race_test.exs	101	87	24	10	14	true
L34	runtime/test/fleet/workflow/pinning_test.exs	205	187	31	13	18	true
L34	runtime/test/fleet/workflow/provenance_test.exs	130	125	17	12	5	true
L34	runtime/test/fleet/workflow/provenance_verifier_test.exs	143	143	13	13	0	true
L35	runtime/lib/fleet/workflow/step_outputs.ex	137	104	66	33	33	true
L35	runtime/test/fleet/workflow/step_outputs_test.exs	141	139	7	5	2	true
L36	runtime/lib/fleet/project.ex	78	44	45	11	34	true
L36	runtime/lib/fleet/project/architect.ex	256	164	142	50	92	true
L36	runtime/lib/fleet/project/declaration.ex	372	280	159	67	92	true
L36	runtime/lib/fleet/project/git_ops.ex	78	75	20	17	3	true
L36	runtime/lib/fleet/project/incidents.ex	73	59	32	18	14	true
L36	runtime/test/fleet/project/architect_test.exs	288	266	40	18	22	true
L36	runtime/test/fleet/project/declaration_test.exs	376	319	85	28	57	true
L36	runtime/test/fleet/project/incidents_test.exs	60	56	9	5	4	true
L36	runtime/test/fleet/project/probe_predicate_test.exs	468	373	141	46	95	true
L36	runtime/test/fleet/project/project_template_workflows_test.exs	180	143	57	20	37	true
L37	runtime/lib/fleet/project/roles.ex	479	360	223	104	119	true
L37	runtime/lib/fleet/project/worktree_sync.ex	246	218	69	41	28	true
L37	runtime/test/fleet/project/roles_structural_test.exs	236	196	66	26	40	true
L37	runtime/test/fleet/project/roles_test.exs	236	206	49	19	30	true
L37	runtime/test/fleet/project/template_material_test.exs	124	108	28	12	16	true
L37	runtime/test/fleet/project/worktree_sync_test.exs	297	264	61	28	33	true
L38	runtime/lib/fleet/project/onboard.ex	501	354	207	60	147	true
L38	runtime/lib/fleet/project/onboard/adopt.ex	181	179	22	20	2	true
L38	runtime/lib/fleet/project/onboard/card.ex	368	310	94	36	58	true
L38	runtime/lib/fleet/project/onboard/create.ex	308	252	99	44	55	true
L38	runtime/lib/fleet/project/onboard/faces.ex	333	267	93	27	66	true
L38	runtime/test/fleet/project/onboard/adopt_test.exs	223	205	27	9	18	true
L38	runtime/test/fleet/project/onboard/card_revision_test.exs	429	388	59	16	43	true
L38	runtime/test/fleet/project/onboard/close_open_test.exs	262	243	35	13	22	true
L38	runtime/test/fleet/project/onboard/compensation_test.exs	532	453	112	32	80	true
L38	runtime/test/fleet/project/onboard_test.exs	619	510	150	40	110	true
L39	runtime/lib/fleet/project/onboard/import.ex	499	414	144	59	85	true
L39	runtime/lib/fleet/project/onboard/lifecycle.ex	467	411	110	54	56	true
L39	runtime/lib/fleet/project/onboard/migration.ex	368	286	152	70	82	true
L39	runtime/lib/fleet/project/onboard/refute.ex	130	92	59	21	38	true
L39	runtime/lib/fleet/project/onboard/repo.ex	192	163	41	11	30	true
L39	runtime/lib/fleet/project/onboard/scaffold.ex	279	209	117	47	70	true
L39	runtime/test/fleet/project/onboard/import_external_test.exs	328	292	50	14	36	true
L39	runtime/test/fleet/project/onboard/list_projects_test.exs	154	140	21	7	14	true
L39	runtime/test/fleet/project/onboard/reconcile_test.exs	158	132	38	12	26	true
L39	runtime/test/fleet/project/onboard/scaffold_test.exs	351	273	103	23	80	true
L39	runtime/test/fleet/project/onboard/store_gate_test.exs	154	116	50	12	38	true
L40	runtime/test/fleet/project/onboard_migrate_test.exs	268	234	53	18	35	true
L40	runtime/test/fleet/project/onboard_preflight_test.exs	162	116	65	18	47	true
L41	runtime/lib/fleet/mcp.ex	72	45	36	9	27	true
L41	runtime/lib/fleet/mcp/idempotency.ex	115	115	11	11	0	false
L41	runtime/lib/fleet/mcp/pod_socket_acceptor.ex	620	478	203	60	143	true
L41	runtime/lib/fleet/mcp/pod_socket_supervisor.ex	161	164	30	33	-3	true
L41	runtime/test/fleet/mcp/accessor_seam_conformance_test.exs	154	121	45	13	32	true
L41	runtime/test/fleet/mcp/emergency_stop_test.exs	227	215	20	8	12	true
L41	runtime/test/fleet/mcp/idempotency_test.exs	132	124	14	5	9	true
L41	runtime/test/fleet/mcp/poc_exmcp_native_test.exs	91	81	20	10	10	true
L41	runtime/test/fleet/mcp/pod_socket_test.exs	862	724	201	61	140	true
L42	runtime/lib/fleet/mcp/pod_tools.ex	1780	1638	239	100	139	true
L42	runtime/lib/fleet/mcp/pod_tools/pod_resolver.ex	62	40	36	14	22	true
L42	runtime/test/fleet/mcp/pod_tools_test.exs	3158	2986	435	261	174	true
L43	runtime/lib/fleet/mcp/pod_tools/probe.ex	353	244	159	50	109	true
L43	runtime/lib/fleet/mcp/pod_tools/project_publish.ex	336	267	110	41	69	true
L43	runtime/lib/fleet/mcp/pod_tools/work_items.ex	112	78	53	19	34	true
L43	runtime/lib/fleet/mcp/server.ex	55	38	32	15	17	true
L43	runtime/test/fleet/mcp/probe_seam_contract_test.exs	61	44	28	11	17	true
L43	runtime/test/fleet/mcp/probe_test.exs	336	308	60	32	28	true
L43	runtime/test/fleet/mcp/project_publish_test.exs	135	112	36	13	23	true
L43	runtime/test/fleet/mcp/result_event_test.exs	114	105	27	18	9	true
L43	runtime/test/fleet/mcp/seam_conformance_test.exs	110	82	43	15	28	true
L43	runtime/test/fleet/mcp/seam_contract_test.exs	47	36	20	9	11	true
L43	runtime/test/fleet/mcp/server_test.exs	59	50	16	7	9	true
