lot	family	path	base_lines	base_prose_lines	current_prose_lines
L15	06 — Catalogue et profils	runtime/test/fleet/cap_profile_image_test.exs	174	34	34
L16	06 — Catalogue et profils	runtime/lib/fleet/catalogue.ex	858	486	486
L16	06 — Catalogue et profils	runtime/lib/fleet/schema_cache.ex	98	50	50
L16	06 — Catalogue et profils	runtime/test/fleet/cap_profile_reserved_seat_test.exs	144	24	24
L16	06 — Catalogue et profils	runtime/test/fleet/catalogue_store_address_test.exs	68	32	32
L16	06 — Catalogue et profils	runtime/test/fleet/catalogue_test.exs	525	84	84
L16	06 — Catalogue et profils	runtime/test/fleet/loader_envelope_test.exs	377	79	79
L16	06 — Catalogue et profils	runtime/test/fleet/schema_cache_test.exs	158	22	22
L17	07 — Identités et credentials	runtime/lib/fleet/credentials.ex	19	4	4
L17	07 — Identités et credentials	runtime/lib/fleet/credentials/authority.ex	130	46	46
L17	07 — Identités et credentials	runtime/lib/fleet/credentials/forge_auth.ex	182	94	94
L17	07 — Identités et credentials	runtime/lib/fleet/credentials/forge_identity.ex	265	123	123
L17	07 — Identités et credentials	runtime/lib/fleet/credentials/gate.ex	80	31	31
L17	07 — Identités et credentials	runtime/lib/fleet/credentials/human.ex	60	14	14
L17	07 — Identités et credentials	runtime/lib/fleet/credentials/role_identity.ex	100	61	61
L17	07 — Identités et credentials	runtime/test/fleet/credentials/forge_auth_test.exs	181	30	30
L17	07 — Identités et credentials	runtime/test/fleet/credentials/forge_identity_test.exs	93	17	17
L17	07 — Identités et credentials	runtime/test/fleet/credentials/gate_test.exs	105	10	10
L17	07 — Identités et credentials	runtime/test/fleet/credentials/role_identity_test.exs	76	13	13
L18	07 — Identités et credentials	runtime/lib/fleet/credentials/role_token.ex	152	68	68
L18	07 — Identités et credentials	runtime/lib/fleet/credentials/shell.ex	468	238	238
L18	07 — Identités et credentials	runtime/test/fleet/credentials/role_token_test.exs	99	41	41
L18	07 — Identités et credentials	runtime/test/fleet/credentials/shell_test.exs	380	94	94
L19	08 — Prompts et préparation des workspaces	runtime/lib/fleet/project_bootstrap.ex	26	11	11
L19	08 — Prompts et préparation des workspaces	runtime/lib/fleet/project_bootstrap/phase.ex	725	332	332
L19	08 — Prompts et préparation des workspaces	runtime/lib/fleet/sp_builder.ex	456	132	132
L19	08 — Prompts et préparation des workspaces	runtime/test/fleet/modops_consumption_test.exs	128	44	44
L19	08 — Prompts et préparation des workspaces	runtime/test/fleet/project_bootstrap/clone_test.exs	777	157	157
L19	08 — Prompts et préparation des workspaces	runtime/test/fleet/project_bootstrap/trailer_hook_test.exs	198	36	36
L19	08 — Prompts et préparation des workspaces	runtime/test/fleet/sp_builder_test.exs	527	104	104
L20	08 — Prompts et préparation des workspaces	runtime/lib/fleet/sp_builder/blocks.ex	183	80	80
L20	08 — Prompts et préparation des workspaces	runtime/lib/fleet/sp_builder/composer.ex	22	3	3
L20	08 — Prompts et préparation des workspaces	runtime/lib/fleet/sp_builder/image.ex	458	159	159
L20	08 — Prompts et préparation des workspaces	runtime/lib/fleet/sp_builder/monk.ex	106	38	38
L20	08 — Prompts et préparation des workspaces	runtime/lib/fleet/sp_builder/repo_sections.ex	199	88	88
L20	08 — Prompts et préparation des workspaces	runtime/test/fleet/sp_builder/blocks_test.exs	225	39	39
L20	08 — Prompts et préparation des workspaces	runtime/test/fleet/sp_builder/repo_sections_test.exs	223	36	36
L20	08 — Prompts et préparation des workspaces	runtime/test/fleet/sp_builder/sp_image_invariants_test.exs	181	47	47
L20	08 — Prompts et préparation des workspaces	runtime/test/fleet/sp_builder_image_parity_test.exs	126	28	28
L20	08 — Prompts et préparation des workspaces	runtime/test/fleet/sp_builder_image_test.exs	394	86	86
L20	08 — Prompts et préparation des workspaces	runtime/test/fleet/sp_builder_monk_test.exs	84	13	13
L21	09 — Événements et file de travail	runtime/lib/fleet/event.ex	123	26	26
L21	09 — Événements et file de travail	runtime/lib/fleet/event_router.ex	29	7	7
L21	09 — Événements et file de travail	runtime/lib/fleet/event_router/application.ex	142	30	30
L21	09 — Événements et file de travail	runtime/lib/fleet/event_router/bind_address.ex	62	10	10
L21	09 — Événements et file de travail	runtime/lib/fleet/event_router/bus.ex	254	88	88
L21	09 — Événements et file de travail	runtime/lib/fleet/event_router/catalog.ex	196	48	48
L21	09 — Événements et file de travail	runtime/test/fleet/event_router/application_escalation_test.exs	28	9	9
L21	09 — Événements et file de travail	runtime/test/fleet/event_router/bind_address_test.exs	81	12	12
L21	09 — Événements et file de travail	runtime/test/fleet/event_router/bus_registry_empty_test.exs	112	26	26
L21	09 — Événements et file de travail	runtime/test/fleet/event_router/bus_safe_emit_test.exs	186	33	33
L21	09 — Événements et file de travail	runtime/test/fleet/event_router/bus_test.exs	123	19	19
L21	09 — Événements et file de travail	runtime/test/fleet/event_test.exs	108	10	10
L22	09 — Événements et file de travail	runtime/lib/fleet/event_router/listener.ex	59	27	27
L22	09 — Événements et file de travail	runtime/lib/fleet/event_router/signals_os.ex	23	6	6
L22	09 — Événements et file de travail	runtime/lib/fleet/event_router/unix_listener.ex	122	53	53
L22	09 — Événements et file de travail	runtime/lib/fleet/event_router/webhooks_gitea.ex	298	105	105
L22	09 — Événements et file de travail	runtime/test/fleet/event_router/catalog_fail_loud_test.exs	105	22	22
L22	09 — Événements et file de travail	runtime/test/fleet/event_router/catalog_routing_test.exs	160	18	18
L22	09 — Événements et file de travail	runtime/test/fleet/event_router/events_schema_test.exs	77	15	15
L22	09 — Événements et file de travail	runtime/test/fleet/event_router/r1_seam_broadcast_test.exs	48	17	17
L22	09 — Événements et file de travail	runtime/test/fleet/event_router/registry_gitea_test.exs	31	7	7
L22	09 — Événements et file de travail	runtime/test/fleet/event_router/signals_os_test.exs	13	2	2
L22	09 — Événements et file de travail	runtime/test/fleet/event_router/unix_listener_test.exs	130	33	33
L22	09 — Événements et file de travail	runtime/test/fleet/event_router/webhooks_gitea_test.exs	368	43	43
L23	09 — Événements et file de travail	runtime/lib/fleet/publish/in_flight.ex	47	13	13
L23	09 — Événements et file de travail	runtime/lib/fleet/task_queue.ex	160	50	50
L23	09 — Événements et file de travail	runtime/lib/fleet/task_queue/application.ex	24	4	4
L23	09 — Événements et file de travail	runtime/lib/fleet/task_queue/broadcast.ex	115	54	54
L23	09 — Événements et file de travail	runtime/lib/fleet/task_queue/server.ex	555	176	176
L23	09 — Événements et file de travail	runtime/lib/fleet/task_queue/work_item.ex	178	62	62
L23	09 — Événements et file de travail	runtime/test/fleet/publish/in_flight_test.exs	46	5	5
L23	09 — Événements et file de travail	runtime/test/fleet/task_queue_test.exs	806	170	170
L24	10 — Analyse des conflits	runtime/lib/fleet/conflict.ex	133	77	77
L24	10 — Analyse des conflits	runtime/lib/fleet/conflict/assemble.ex	99	17	17
L24	10 — Analyse des conflits	runtime/lib/fleet/conflict/classifier.ex	164	17	17
L24	10 — Analyse des conflits	runtime/lib/fleet/conflict/diff.ex	271	54	54
L24	10 — Analyse des conflits	runtime/lib/fleet/conflict/parser.ex	126	27	27
L24	10 — Analyse des conflits	runtime/lib/fleet/conflict/pattern.ex	31	11	11
L24	10 — Analyse des conflits	runtime/lib/fleet/conflict/patterns/complex.ex	26	5	5
L24	10 — Analyse des conflits	runtime/lib/fleet/conflict/patterns/delete_no_change.ex	56	7	7
L24	10 — Analyse des conflits	runtime/lib/fleet/conflict/patterns/insertion_at_boundary.ex	100	11	11
L24	10 — Analyse des conflits	runtime/lib/fleet/conflict/patterns/non_overlapping.ex	61	18	18
L24	10 — Analyse des conflits	runtime/test/fleet/conflict/conflict_test.exs	199	46	46
L24	10 — Analyse des conflits	runtime/test/fleet/conflict/patterns_test.exs	260	51	51
L25	10 — Analyse des conflits	runtime/lib/fleet/conflict/patterns/one_side_change.ex	41	3	3
L25	10 — Analyse des conflits	runtime/lib/fleet/conflict/patterns/reorder_only.ex	53	4	4
L25	10 — Analyse des conflits	runtime/lib/fleet/conflict/patterns/same_change.ex	31	3	3
L25	10 — Analyse des conflits	runtime/lib/fleet/conflict/patterns/utils.ex	382	39	39
L25	10 — Analyse des conflits	runtime/lib/fleet/conflict/patterns/value_only_change.ex	59	6	6
L25	10 — Analyse des conflits	runtime/lib/fleet/conflict/patterns/whitespace_only.ex	52	5	5
L25	10 — Analyse des conflits	runtime/lib/fleet/conflict/score.ex	76	27	27
L25	10 — Analyse des conflits	runtime/lib/fleet/conflict/types.ex	109	32	32
L26	11 — Forge : client et opérations	runtime/lib/fleet/forge.ex	158	96	96
L26	11 — Forge : client et opérations	runtime/test/fleet/forge/actions_test.exs	321	49	49
L27	11 — Forge : client et opérations	runtime/lib/fleet/forge/client.ex	1306	479	479
