path	base_lines	base_comment_lines	base_inline_comments	base_doc_lines	base_blank_lines	base_doc_blocks	base_module_blocks	base_type_blocks	base_switches	base_prose_lines	base_doctest_prompts	current_lines	current_comment_lines	current_inline_comments	current_doc_lines	current_blank_lines	current_doc_blocks	current_module_blocks	current_type_blocks	current_switches	current_prose_lines	current_doctest_prompts
runtime/lib/fleet/mcp/pod_tools/delegation/issue_pr.ex	129	24	0	9	19	0	1	0	3	33	0	129	24	0	9	19	0	1	0	3	33	0
runtime/lib/fleet/mcp/pod_tools/delegation/issues.ex	911	206	0	65	118	5	2	0	0	271	0	911	206	0	65	118	5	2	0	0	271	0
runtime/lib/fleet/mcp/pod_tools/delegation/portfolio.ex	750	91	0	142	72	12	1	0	0	233	0	750	91	0	142	72	12	1	0	0	233	0
runtime/lib/fleet/mcp/pod_tools/delegation/project_onboard.ex	208	1	0	127	15	14	1	0	0	128	0	208	1	0	127	15	14	1	0	0	128	0
runtime/lib/fleet/mcp/pod_tools/delegation/render.ex	37	1	0	7	3	0	1	0	2	8	0	37	1	0	7	3	0	1	0	2	8	0
runtime/lib/fleet/mcp/pod_tools/delegation/retirement.ex	385	71	0	85	43	2	1	0	1	156	0	385	71	0	85	43	2	1	0	1	156	0
runtime/lib/fleet/mcp/pod_tools/delegation/scratchpad.ex	167	30	0	34	16	1	1	0	0	64	0	167	30	0	34	16	1	1	0	0	64	0
runtime/lib/fleet/mcp/pod_tools/delegation/toolchain.ex	219	50	0	32	22	1	1	0	0	82	0	219	50	0	32	22	1	1	0	0	82	0
runtime/lib/fleet/mcp/pod_tools/delegation/workshop.ex	26	6	0	9	2	0	1	0	2	15	0	26	6	0	9	2	0	1	0	2	15	0
runtime/lib/fleet/mcp/pod_tools/pod_resolver.ex	62	2	0	34	5	1	1	1	2	36	0	62	2	0	34	5	1	1	1	2	36	0
runtime/lib/fleet/mcp/pod_tools/probe.ex	353	100	0	59	33	4	1	0	0	159	0	353	100	0	59	33	4	1	0	0	159	0
runtime/lib/fleet/mcp/pod_tools/project_publish.ex	336	77	0	33	35	2	1	0	1	110	0	336	77	0	33	35	2	1	0	1	110	0
runtime/lib/fleet/mcp/pod_tools/work_items.ex	112	22	0	31	11	2	1	0	0	53	0	112	22	0	31	11	2	1	0	0	53	0
runtime/lib/fleet/mcp/server.ex	55	0	0	32	5	1	1	0	0	32	0	55	0	0	32	5	1	1	0	0	32	0
